chr	internal_start	internal_end	Symbol	score	strand	Type
chr7	34614303	34744133	Pepd	0	+	Non_Target_Long_Genes
chr10	13089138	13261997	Phactr2	0	-	Non_Target_Long_Genes
chr8	86570136	86787271	Phkb	0	+	Non_Target_Long_Genes
chr5	20963660	21084622	Phtf2	0	-	Non_Target_Long_Genes
chr1	105446150	105588887	Pign	0	-	Non_Target_Long_Genes
chr19	38515152	38771239	Plce1	0	+	Non_Target_Long_Genes
chr3	63603657	63755912	Plch1	0	-	Non_Target_Long_Genes
chr10	3787378	3914452	Plekhg1	0	+	Non_Target_Long_Genes
chr1	53228345	53333677	Pms1	0	-	Non_Target_Long_Genes
chrX	92348372	92673261	Pola1	0	-	Non_Target_Long_Genes
chr6	146792586	146933523	Ppfibp1	0	+	Non_Target_Long_Genes
chr6	65758471	65913360	Prdm5	0	+	Non_Target_Long_Genes
chr5	25067741	25303140	Prkag2	0	-	Non_Target_Long_Genes
chr12	73634070	73824959	Prkch	0	+	Non_Target_Long_Genes
chr12	50388013	50693381	Prkd1	0	-	Non_Target_Long_Genes
chr5	44150961	44256796	Prom1	0	-	Non_Target_Long_Genes
chr8	68149541	68656209	Psd3	0	-	Non_Target_Long_Genes
chr15	73076950	73292540	Ptk2	0	-	Non_Target_Long_Genes
chr5	103575866	103746169	Ptpn13	0	+	Non_Target_Long_Genes
chr2	130294963	130395943	Ptpra	0	+	Non_Target_Long_Genes
chr6	22878000	23052915	Ptprz1	0	+	Non_Target_Long_Genes
chr1	128033560	128165473	R3hdm1	0	+	Non_Target_Long_Genes
chr10	127219030	127335229	R3hdm2	0	+	Non_Target_Long_Genes
chr9	106565280	106663893	Rad54l2	0	-	Non_Target_Long_Genes
chr2	146085064	146351764	Ralgapa2	0	-	Non_Target_Long_Genes
chr3	138631662	138778462	Rap1gds1	0	-	Non_Target_Long_Genes
chr12	117482598	117723472	Rapgef5	0	+	Non_Target_Long_Genes
chr11	54416215	54587805	Rapgef6	0	+	Non_Target_Long_Genes
chr14	5896719	6038924	Rarb	0	+	Non_Target_Long_Genes
chr19	53668236	53853811	Rbm20	0	+	Non_Target_Long_Genes
chr8	34293966	34417333	Rbpms	0	-	Non_Target_Long_Genes
chr5	22089451	22547200	Reln	0	-	Non_Target_Long_Genes
chr10	39610613	39751207	Rev3l	0	+	Non_Target_Long_Genes
chr17	50299284	50495202	Rftn1	0	-	Non_Target_Long_Genes
chr1	152392510	152639556	Rgl1	0	-	Non_Target_Long_Genes
chr2	145630399	145729536	Rin2	0	+	Non_Target_Long_Genes
chr13	105267083	105428437	Rnf180	0	-	Non_Target_Long_Genes
chr18	10064400	10179545	Rock1	0	-	Non_Target_Long_Genes
chr12	100516036	100688787	Rps6ka5	0	-	Non_Target_Long_Genes
chrX	110297888	110445156	Rps6ka6	0	-	Non_Target_Long_Genes
chr15	42884192	43031714	Rspo2	0	-	Non_Target_Long_Genes
chr2	13081822	13273726	Rsu1	0	-	Non_Target_Long_Genes
chr10	8597982	8759314	Sash1	0	-	Non_Target_Long_Genes
chr9	55457166	55824389	Scaper	0	-	Non_Target_Long_Genes
chr5	74365476	74689910	Scfd2	0	-	Non_Target_Long_Genes
chr1	176644725	176848003	Sdccag8	0	+	Non_Target_Long_Genes
chr5	13451775	13652533	Sema3a	0	+	Non_Target_Long_Genes
chr5	17781778	17935266	Sema3c	0	+	Non_Target_Long_Genes
chr10	21760582	21875792	Sgk1	0	+	Non_Target_Long_Genes
chr1	9870867	9971070	Sgk3	0	+	Non_Target_Long_Genes
chr3	85880915	86037833	Sh3d19	0	+	Non_Target_Long_Genes
chr19	47248612	47450340	Sh3pxd2a	0	-	Non_Target_Long_Genes
chr13	51585076	51721023	Shc3	0	-	Non_Target_Long_Genes
chrX	151392504	151549957	Shroom2	0	-	Non_Target_Long_Genes
chr9	50804100	50917873	Sik2	0	-	Non_Target_Long_Genes
chr8	126144814	126294047	Sipa1l2	0	-	Non_Target_Long_Genes
chr6	51834401	51987029	Skap2	0	-	Non_Target_Long_Genes
chrX	102741019	102863089	Slc16a2	0	-	Non_Target_Long_Genes
chr14	26135450	26253550	Slmap	0	-	Non_Target_Long_Genes
chr19	26585018	26755675	Smarca2	0	+	Non_Target_Long_Genes
chr1	178779524	179343099	Smyd3	0	-	Non_Target_Long_Genes
chr7	59632249	59787467	Snrpn	0	-	Non_Target_Long_Genes
chrX	100141391	100263659	Snx12	0	-	Non_Target_Long_Genes
chr12	35099684	35197478	Snx13	0	+	Non_Target_Long_Genes
chr14	60874677	61002005	Spata13	0	+	Non_Target_Long_Genes
chr11	61922601	62113839	Specc1	0	+	Non_Target_Long_Genes
chr18	67621278	67741360	Spire1	0	-	Non_Target_Long_Genes
chr8	63406894	63810137	Spock3	0	+	Non_Target_Long_Genes
chr5	23708261	23819032	Srpk2	0	-	Non_Target_Long_Genes
chr1	6559954	6931158	St18	0	+	Non_Target_Long_Genes
chr6	17696530	17942965	St7	0	+	Non_Target_Long_Genes
chr7	101919560	102086526	Stim1	0	+	Non_Target_Long_Genes
chr5	54158406	54278399	Stim2	0	+	Non_Target_Long_Genes
chr7	108878429	109035783	Stk33	0	-	Non_Target_Long_Genes
chr12	91608316	91708129	Ston2	0	-	Non_Target_Long_Genes
chr11	90367317	90526410	Stxbp4	0	-	Non_Target_Long_Genes
chr10	9631290	9773927	Stxbp5	0	-	Non_Target_Long_Genes
chr6	95449989	95693281	Suclg2	0	-	Non_Target_Long_Genes
chr17	45100017	45430166	Supt3	0	+	Non_Target_Long_Genes
chr7	74764641	74956510	Sv2b	0	-	Non_Target_Long_Genes
chr14	8853422	9041526	Synpr	0	-	Non_Target_Long_Genes
chr7	106972496	107147863	Syt9	0	+	Non_Target_Long_Genes
chr15	87430999	87643563	Tafa5	0	+	Non_Target_Long_Genes
chr8	107412199	107578071	Tango6	0	+	Non_Target_Long_Genes
chr2	139675399	139906180	Tasp1	0	-	Non_Target_Long_Genes
chr5	64319293	64508829	Tbc1d1	0	+	Non_Target_Long_Genes
chr14	101681158	101843422	Tbc1d4	0	-	Non_Target_Long_Genes
chr17	51041031	51483839	Tbc1d5	0	-	Non_Target_Long_Genes
chr3	99163575	99261575	Tbx15	0	+	Non_Target_Long_Genes
chr14	87656574	87782940	Tdrd3	0	+	Non_Target_Long_Genes
chr5	72913058	73023287	Tec	0	-	Non_Target_Long_Genes
chr4	94630036	94763176	Tek	0	+	Non_Target_Long_Genes
chr1	36831274	36976403	Tmem131	0	-	Non_Target_Long_Genes
chr7	88788921	88985495	Tmem135	0	-	Non_Target_Long_Genes
chr11	8381651	8612181	Tns3	0	-	Non_Target_Long_Genes
chr15	27730736	28023434	Trio	0	-	Non_Target_Long_Genes
chr17	75027226	75170565	Ttc27	0	+	Non_Target_Long_Genes
chr12	85873983	86100534	Ttll5	0	+	Non_Target_Long_Genes
chr9	86189358	86344503	Ube3d	0	-	Non_Target_Long_Genes
chr7	6736081	6970218	Usp29	0	+	Non_Target_Long_Genes
chr1	74476888	74580943	Usp37	0	-	Non_Target_Long_Genes
chr8	114934869	115100811	Vat1l	0	+	Non_Target_Long_Genes
chr14	20981965	21083744	Vcl	0	+	Non_Target_Long_Genes
chr8	54533140	54640131	Vegfc	0	+	Non_Target_Long_Genes
chr13	18903959	19050981	Vps41	0	+	Non_Target_Long_Genes
chr16	21244450	21463422	Vps8	0	+	Non_Target_Long_Genes
chrX	23561789	23672229	Wdr44	0	+	Non_Target_Long_Genes
chr18	63844255	64122847	Wdr7	0	+	Non_Target_Long_Genes
chr2	73259953	73357578	Wipf1	0	-	Non_Target_Long_Genes
chr6	119900931	120013116	Wnk1	0	-	Non_Target_Long_Genes
chr6	119409494	119518779	Wnt5b	0	-	Non_Target_Long_Genes
chr8	33724411	33873055	Wrn	0	-	Non_Target_Long_Genes
chr3	57363202	57480831	Wwtr1	0	-	Non_Target_Long_Genes
chr1	155151446	155290575	Xpr1	0	-	Non_Target_Long_Genes
chr13	89997039	90235227	Xrcc4	0	-	Non_Target_Long_Genes
chrX	103580574	103712170	Zdhhc15	0	-	Non_Target_Long_Genes
chr4	108494662	108635495	Zfyve9	0	-	Non_Target_Long_Genes
chr2	160607104	160711992	Zhx3	0	-	Non_Target_Long_Genes
chr1	127882406	128028238	Zranb3	0	-	Non_Target_Long_Genes
chr11	112934728	113061328	2610035D17Rik	0	-	Strong_Target
chr1	38216406	38663782	Aff3	0	-	Strong_Target
chr5	131468253	132568210	Auts2	0	-	Strong_Target
chr9	47444008	47761885	Cadm1	0	+	Strong_Target
chr2	179086723	179541166	Cdh4	0	+	Strong_Target
chr18	25610688	25884540	Celf4	0	-	Strong_Target
chr4	8693864	8867659	Chd7	0	+	Strong_Target
chr9	62326773	62441826	Coro2b	0	-	Strong_Target
chr5	76808676	77021177	Cracd	0	+	Strong_Target
chr18	75564294	75828125	Ctif	0	-	Strong_Target
chr6	76858619	77954182	Ctnna2	0	-	Strong_Target
chr15	63800945	63929797	Cyrib	0	-	Strong_Target
chr2	35514548	35620999	Dab2ip	0	+	Strong_Target
chr15	99939044	100117354	Dip2b	0	+	Strong_Target
chr13	9329517	9716214	Dip2c	0	+	Strong_Target
chr12	40498450	40896873	Dock4	0	+	Strong_Target
chr17	62911178	63185812	Efna5	0	-	Strong_Target
chr14	77620585	77959200	Enox1	0	+	Strong_Target
chr15	52927433	53207055	Ext1	0	-	Strong_Target
chr2	52750371	53023816	Fmnl2	0	+	Strong_Target
chr2	121378787	121634973	Frmd5	0	-	Strong_Target
chr8	92042652	92395067	Fto	0	+	Strong_Target
chr8	94540440	94687318	Gnao1	0	+	Strong_Target
chr7	67605074	67883416	Igf1r	0	+	Strong_Target
chr12	5127471	5423182	Klhl29	0	-	Strong_Target
chr5	105851154	105963076	Lrrc8d	0	+	Strong_Target
chr1	39942572	40065470	Map4k4	0	+	Strong_Target
chr16	28644927	28745925	Mb21d2	0	-	Strong_Target
chr12	24884121	25009873	Mboat2	0	+	Strong_Target
chr4	87688161	87949101	Mllt3	0	-	Strong_Target
chr11	88234714	88606427	Msi2	0	-	Strong_Target
chr15	58813082	58951338	Mtss1	0	-	Strong_Target
chr1	13212698	13441807	Ncoa2	0	-	Strong_Target
chr4	97668344	98007108	Nfia	0	+	Strong_Target
chr4	82208409	82421045	Nfib	0	-	Strong_Target
chr12	53297959	54118958	Npas3	0	+	Strong_Target
chr9	28906045	29871925	Ntm	0	-	Strong_Target
chr1	167981110	168256966	Pbx1	0	-	Strong_Target
chr2	34061734	34259556	Pbx3	0	-	Strong_Target
chr13	42838673	43288665	Phactr1	0	+	Strong_Target
chr6	140372279	140542836	Plekha5	0	+	Strong_Target
chr6	32121202	32562627	Plxna4	0	-	Strong_Target
chr3	136379030	136641540	Ppp3ca	0	+	Strong_Target
chr4	154400581	154718823	Prdm16	0	-	Strong_Target
chr17	86477712	86965347	Prkce	0	+	Strong_Target
chr14	10227721	10913720	Ptprg	0	-	Strong_Target
chr4	150368602	150706423	Rere	0	+	Strong_Target
chr4	13753796	13893628	Runx1t1	0	+	Strong_Target
chr6	112694931	112921727	Srgap3	0	-	Strong_Target
chr5	116577334	116727376	Srrm4	0	-	Strong_Target
chr3	152903902	153428311	St6galnac3	0	-	Strong_Target
chr18	69479716	69817414	Tcf4	0	+	Strong_Target
chr8	48680716	49125225	Tenm3	0	-	Strong_Target
chr9	103360145	103567506	Tmem108	0	-	Strong_Target
chr6	39850894	40222706	Tmem178b	0	+	Strong_Target
chr11	117548138	117654265	Tnrc6c	0	+	Strong_Target
chr3	84071028	84175598	Trim2	0	-	Strong_Target
chr3	138450455	138613666	Tspan5	0	+	Strong_Target
chr8	29136744	29707164	Unc5d	0	-	Strong_Target
chr18	5594363	5775467	Zeb1	0	+	Strong_Target
chr2	44877134	44998027	Zeb2	0	-	Strong_Target
chr14	25462147	25667167	Zmiz1	0	+	Strong_Target
chr1	151760274	151963376	1700025G04Rik	0	-	Weak_Target
chr6	86828998	86980205	Aak1	0	+	Weak_Target
chr2	31581062	31693553	Abl1	0	+	Weak_Target
chr19	57021164	57201964	Ablim1	0	-	Weak_Target
chr16	30914771	31017309	Acap2	0	-	Weak_Target
chr5	89824945	90028294	Adamts3	0	-	Weak_Target
chr16	34977746	35126108	Adcy5	0	+	Weak_Target
chr1	25106630	25866288	Adgrb3	0	-	Weak_Target
chr3	148521711	148657794	Adgrl2	0	-	Weak_Target
chr5	81460220	81943194	Adgrl3	0	+	Weak_Target
chr5	36053162	36161267	Afap1	0	+	Weak_Target
chr17	13983360	14124394	Afdn	0	+	Weak_Target
chr1	89510457	89822999	Agap1	0	+	Weak_Target
chr17	12340670	12438532	Agpat4	0	+	Weak_Target
chr6	29770990	29912309	Ahcyl2	0	+	Weak_Target
chr10	13528194	13742201	Aig1	0	-	Weak_Target
chr1	173180944	173293606	Aim2	0	+	Weak_Target
chr1	176849681	177083269	Akt3	0	-	Weak_Target
chr16	52069358	52271937	Alcam	0	-	Weak_Target
chr2	91563069	91749194	Ambra1	0	+	Weak_Target
chr15	27469262	27594995	Ank	0	+	Weak_Target
chr3	126716973	127016996	Ank2	0	-	Weak_Target
chr5	90375024	90511936	Ankrd17	0	-	Weak_Target
chr1	54684500	54963046	Ankrd44	0	-	Weak_Target
chr4	32804034	32920955	Ankrd6	0	-	Weak_Target
chr17	28130845	28281573	Anks1	0	+	Weak_Target
chr7	144142285	144289803	Ano1	0	-	Weak_Target
chr15	95691272	95870840	Ano6	0	+	Weak_Target
chr13	94497967	94702825	Ap3b1	0	+	Weak_Target
chr5	66459230	66773514	Apbb2	0	-	Weak_Target
chr18	34356536	34455605	Apc	0	+	Weak_Target
chr16	84746572	84968154	App	0	-	Weak_Target
chr10	26650972	26794644	Arhgap18	0	+	Weak_Target
chr9	32029931	32179742	Arhgap32	0	+	Weak_Target
chr4	140241795	140373561	Arhgef10l	0	-	Weak_Target
chr3	87527381	87645340	Arhgef11	0	+	Weak_Target
chrX	94093871	94237939	Arhgef9	0	-	Weak_Target
chr17	5047713	5393780	Arid1b	0	+	Weak_Target
chr15	96187953	96302873	Arid2	0	+	Weak_Target
chr13	14240876	14373947	Arid4b	0	+	Weak_Target
chr18	77543805	77650332	Ark2c	0	-	Weak_Target
chr13	113933540	114293997	Arl15	0	+	Weak_Target
chr7	83895485	84056827	Arnt2	0	-	Weak_Target
chr15	63960387	64252268	Asap1	0	-	Weak_Target
chr12	21164248	21320172	Asap2	0	+	Weak_Target
chr1	158192342	158519349	Astn1	0	+	Weak_Target
chr8	12809515	12918728	Atp11a	0	+	Weak_Target
chrX	59268652	59446672	Atp11c	0	-	Weak_Target
chr10	98753513	98862005	Atp2b1	0	+	Weak_Target
chr2	168476357	168581382	Atp9a	0	-	Weak_Target
chr15	85222945	85347413	Atxn10	0	+	Weak_Target
chr5	121852171	121953013	Atxn2	0	+	Weak_Target
chr5	31857893	32242083	Babam2	0	+	Weak_Target
chr4	32241303	32586104	Bach2	0	+	Weak_Target
chr16	50012206	50250253	Bbx	0	-	Weak_Target
chr10	74898923	75020753	Bcr	0	+	Weak_Target
chr6	149313426	149458229	Bicd1	0	+	Weak_Target
chr16	13806967	13919364	Bmerb1	0	+	Weak_Target
chr1	59805058	59918173	Bmpr2	0	+	Weak_Target
chr4	68679750	68870134	Brinp1	0	-	Weak_Target
chr1	158072838	158181396	Brinp2	0	-	Weak_Target
chr17	30434497	30792962	Btbd9	0	-	Weak_Target
chr19	45354689	45518452	Btrc	0	+	Weak_Target
chr4	100636371	100861741	Cachd1	0	+	Weak_Target
chr5	16142285	16576067	Cacna2d1	0	+	Weak_Target
chr9	107279767	107404663	Cacna2d2	0	+	Weak_Target
chr3	126393354	126639944	Camk2d	0	+	Weak_Target
chr4	151143982	151943703	Camta1	0	-	Weak_Target
chrX	13383318	13710317	Cask	0	-	Weak_Target
chr2	154280914	154381276	Cbfa2t2	0	+	Weak_Target
chr16	51855079	52025876	Cblb	0	+	Weak_Target
chr12	100878958	100992742	Ccdc88c	0	-	Weak_Target
chr15	18822914	19014322	Cdh10	0	+	Weak_Target
chr8	103358726	103509774	Cdh11	0	-	Weak_Target
chr8	119012971	120051660	Cdh13	0	+	Weak_Target
chr18	16721933	16939803	Cdh2	0	-	Weak_Target
chr2	164953426	165074273	Cdh22	0	-	Weak_Target
chr8	99755592	100140603	Cdh8	0	-	Weak_Target
chr5	4853390	5427697	Cdk14	0	-	Weak_Target
chr10	40227803	40359814	Cdk19	0	+	Weak_Target
chr5	3396392	3581008	Cdk6	0	+	Weak_Target
chr13	29509283	30037157	Cdkal1	0	-	Weak_Target
chr6	120646042	120743865	Cecr2	0	+	Weak_Target
chr2	6544515	6887307	Celf2	0	-	Weak_Target
chr15	85783129	85915904	Celsr1	0	-	Weak_Target
chr6	89360132	89570134	Chchd6	0	-	Weak_Target
chr2	160788897	160948442	Chd6	0	-	Weak_Target
chr6	54019057	54277706	Chn2	0	+	Weak_Target
chr10	82823831	83031734	Chst11	0	+	Weak_Target
chr1	118319287	118537227	Clasp1	0	+	Weak_Target
chr4	9271816	9451691	Clvs1	0	+	Weak_Target
chr8	117986302	118186169	Cmip	0	+	Weak_Target
chr19	46752534	46868631	Cnnm2	0	+	Weak_Target
chr6	34999005	35108124	Cnot4	0	-	Weak_Target
chr5	136770612	136909475	Col26a1	0	-	Weak_Target
chr8	11248422	11360326	Col4a1	0	-	Weak_Target
chr18	47094382	47221062	Commd10	0	+	Weak_Target
chr11	63853452	63967792	Cox10	0	-	Weak_Target
chr8	65045575	65143588	Cpe	0	-	Weak_Target
chr10	95010607	95157470	Cradd	0	-	Weak_Target
chr16	3899191	4029361	Crebbp	0	-	Weak_Target
chr17	78510176	78684021	Crim1	0	+	Weak_Target
chr2	65678610	65861890	Csrnp3	0	+	Weak_Target
chr9	118758020	118873066	Ctdspl	0	+	Weak_Target
chr18	35254411	35387832	Ctnna1	0	+	Weak_Target
chr6	18367219	18512320	Cttnbp2	0	-	Weak_Target
chr5	136303339	136591786	Cux1	0	-	Weak_Target
chr12	12314639	12430966	Cyria	0	+	Weak_Target
chr6	38100110	38228444	D630045J12Rik	0	-	Weak_Target
chr12	71880436	72039101	Daam1	0	+	Weak_Target
chr4	104227286	104602041	Dab1	0	+	Weak_Target
chr14	98024288	98404479	Dach1	0	-	Weak_Target
chr12	80382621	80480875	Dcaf5	0	-	Weak_Target
chr3	55152446	55446485	Dclk1	0	+	Weak_Target
chr3	86693459	86825659	Dclk2	0	-	Weak_Target
chr3	145466929	145600032	Ddah1	0	+	Weak_Target
chr14	86892802	87376160	Diaph3	0	-	Weak_Target
chr14	24184022	24293488	Dlg5	0	-	Weak_Target
chr2	156458124	156606283	Dlgap4	0	+	Weak_Target
chr2	18218559	18395141	Dnajc1	0	-	Weak_Target
chr1	84347559	84671442	Dner	0	-	Weak_Target
chr1	161814870	162303103	Dnm3	0	-	Weak_Target
chr4	98825091	99006499	Dock7	0	-	Weak_Target
chr2	170576226	170721689	Dok5	0	+	Weak_Target
chr5	27256696	27932499	Dpp6	0	+	Weak_Target
chr18	75154355	75420035	Dym	0	+	Weak_Target
chr16	94373368	94495926	Dyrk1a	0	+	Weak_Target
chr7	136796969	136913215	Ebf3	0	-	Weak_Target
chr4	137592047	137692540	Ece1	0	+	Weak_Target
chr13	88972129	89471342	Edil3	0	+	Weak_Target
chr10	95779111	95881380	Eea1	0	+	Weak_Target
chr11	21955827	22234295	Ehbp1	0	-	Weak_Target
chr2	24679939	24807126	Ehmt1	0	-	Weak_Target
chr4	137722832	137933465	Eif4g3	0	+	Weak_Target
chr13	20277288	20792523	Elmo1	0	+	Weak_Target
chr3	129328534	129432144	Elovl6	0	+	Weak_Target
chr12	108391574	108505823	Eml1	0	+	Weak_Target
chr1	181733077	181844726	Enah	0	-	Weak_Target
chr4	131650723	131800103	Epb41	0	-	Weak_Target
chr2	156265503	156385132	Epb41l1	0	+	Weak_Target
chr18	33929379	34137472	Epb41l4a	0	-	Weak_Target
chr2	49343997	49441960	Epc2	0	+	Weak_Target
chr16	63363896	63682021	Epha3	0	-	Weak_Target
chr1	77343821	77489225	Epha4	0	-	Weak_Target
chr5	84205649	84562165	Epha5	0	-	Weak_Target
chr4	28815630	28967499	Epha7	0	+	Weak_Target
chr4	136380918	136560767	Ephb2	0	-	Weak_Target
chr6	119547756	119822611	Erc1	0	-	Weak_Target
chr14	27346898	28200494	Erc2	0	+	Weak_Target
chr4	117410061	117531494	Eri3	0	+	Weak_Target
chr6	134015162	134247118	Etv6	0	+	Weak_Target
chr4	109536284	109821157	Faf1	0	+	Weak_Target
chrX	150129670	150254838	Fam120c	0	+	Weak_Target
chr7	100358432	100485372	Fam168a	0	+	Weak_Target
chr2	3121918	3228843	Fam171a1	0	+	Weak_Target
chr5	34529776	34643800	Fam193a	0	+	Weak_Target
chr7	132313810	132412757	Fam53b	0	-	Weak_Target
chr14	121275475	121521156	Farp1	0	+	Weak_Target
chr13	36303894	36721567	Fars2	0	+	Weak_Target
chr8	45405750	45504446	Fat1	0	+	Weak_Target
chr9	15821484	16410081	Fat3	0	-	Weak_Target
chr3	38943588	39066134	Fat4	0	+	Weak_Target
chr17	63364446	63804512	Fbxl17	0	-	Weak_Target
chr15	26540544	26893166	Fbxl7	0	-	Weak_Target
chr17	64205516	64446458	Fer	0	+	Weak_Target
chr16	16234780	16375583	Fgd4	0	-	Weak_Target
chr1	174331890	174650295	Fmn2	0	+	Weak_Target
chr2	30916218	31029520	Fnbp1	0	-	Weak_Target
chr3	27470310	27762047	Fndc3b	0	-	Weak_Target
chr3	79363280	79472603	Fnip2	0	-	Weak_Target
chr12	99156336	99357556	Foxn3	0	-	Weak_Target
chr6	98907050	99137479	Foxp1	0	-	Weak_Target
chr6	15188004	15438022	Foxp2	0	+	Weak_Target
chr5	73177664	73411462	Fryl	0	-	Weak_Target
chr12	77288338	77523112	Fut8	0	+	Weak_Target
chr10	39248293	39441368	Fyn	0	+	Weak_Target
chr8	81491066	81604648	Gab1	0	-	Weak_Target
chr11	57538767	57678340	Galnt10	0	+	Weak_Target
chr5	130900922	131334835	Galnt17	0	-	Weak_Target
chr8	124960629	125072461	Galnt2	0	+	Weak_Target
chr8	57976861	58103565	Galnt7	0	-	Weak_Target
chr11	67348416	67574286	Gas7	0	+	Weak_Target
chr19	46143447	46274949	Gbf1	0	+	Weak_Target
chr19	58224035	58441330	Gfra1	0	-	Weak_Target
chr8	111881052	111983348	Glg1	0	-	Weak_Target
chr1	118761861	118978849	Gli2	0	-	Weak_Target
chr13	15641064	15904611	Gli3	0	+	Weak_Target
chr19	16112694	16364827	Gnaq	0	+	Weak_Target
chr14	19922626	20024817	Gng2	0	-	Weak_Target
chr11	11880507	11984901	Grb10	0	-	Weak_Target
chr3	80588756	80707642	Gria2	0	-	Weak_Target
chr10	48970928	49662362	Grik2	0	-	Weak_Target
chr16	37913149	38061141	Gsk3b	0	+	Weak_Target
chr2	44454423	44749134	Gtdc1	0	-	Weak_Target
chr14	76134376	76245805	Gtf2f2	0	-	Weak_Target
chr5	121360781	121506640	Hectd4	0	+	Weak_Target
chr13	14401022	14695311	Hecw1	0	-	Weak_Target
chr5	135435384	135571469	Hip1	0	-	Weak_Target
chr6	38671324	38850599	Hipk2	0	-	Weak_Target
chr13	42207996	42338502	Hivep1	0	+	Weak_Target
chr10	120197179	120309874	Hmga2	0	-	Weak_Target
chr12	17743356	17841934	Hpcal1	0	+	Weak_Target
chrX	50476088	50768080	Hs6st2	0	-	Weak_Target
chr2	93863033	93985809	Hsd17b12	0	-	Weak_Target
chr16	90185400	90296441	Hunk	0	+	Weak_Target
chr16	21877758	21979549	Igf2bp2	0	-	Weak_Target
chr6	49062156	49189391	Igf2bp3	0	-	Weak_Target
chr16	38725177	38847521	Igsf11	0	+	Weak_Target
chr4	139754156	139971595	Igsf21	0	-	Weak_Target
chr13	95763681	96026003	Iqgap2	0	-	Weak_Target
chr6	90636579	90784605	Iqsec1	0	-	Weak_Target
chr12	102534840	102668689	Itpk1	0	-	Weak_Target
chr6	108192556	108528070	Itpr1	0	+	Weak_Target
chr16	91528740	91710876	Itsn1	0	+	Weak_Target
chr4	101009563	101119979	Jak1	0	-	Weak_Target
chr18	43664471	43818338	Jakmip2	0	-	Weak_Target
chr11	104224326	104330617	Kansl1	0	-	Weak_Target
chr17	53876498	53979748	Kat2b	0	+	Weak_Target
chr14	21569442	21720941	Kat6b	0	+	Weak_Target
chr4	141829700	142202543	Kazn	0	-	Weak_Target
chr3	105362901	105576776	Kcnd3	0	+	Weak_Target
chr12	98395695	98542069	Kcnk10	0	-	Weak_Target
chr1	188941986	189073052	Kcnk2	0	-	Weak_Target
chr1	32214294	32697649	Khdrbs2	0	+	Weak_Target
chr15	68802768	68965361	Khdrbs3	0	+	Weak_Target
chr13	46902562	47080694	Kif13a	0	-	Weak_Target
chr15	90817481	90931548	Kif21a	0	-	Weak_Target
chr2	49511809	49664790	Kif5c	0	+	Weak_Target
chr14	100108067	100519615	Klf12	0	-	Weak_Target
chr5	25478606	25701243	Kmt2c	0	-	Weak_Target
chr11	78904265	79034733	Ksr1	0	-	Weak_Target
chr17	73417488	73550363	Lclat1	0	+	Weak_Target
chr5	45854522	46012457	Lcorl	0	-	Weak_Target
chr5	44629473	44954481	Ldb2	0	-	Weak_Target
chr2	101780547	102014230	Ldlrad3	0	-	Weak_Target
chr3	130906619	131018005	Lef1	0	+	Weak_Target
chr3	52951448	53169100	Lhfpl6	0	+	Weak_Target
chr5	66905687	67214501	Limch1	0	+	Weak_Target
chr4	58435254	58550811	Lpar1	0	-	Weak_Target
chr14	74992114	75182806	Lrch1	0	-	Weak_Target
chr12	61573233	61892044	Lrfn5	0	+	Weak_Target
chr9	77338104	77449652	Lrrc1	0	-	Weak_Target
chr10	61314079	61418570	Lrrc20	0	+	Weak_Target
chr7	67163157	67292479	Lrrc28	0	-	Weak_Target
chr17	75315062	75698323	Ltbp1	0	+	Weak_Target
chr2	49958975	50083576	Lypd6	0	+	Weak_Target
chr13	36162377	36299009	Lyrm4	0	-	Weak_Target
chr4	123243512	123575653	Macf1	0	-	Weak_Target
chr5	139994443	140304807	Mad1l1	0	-	Weak_Target
chr6	93652435	94257803	Magi1	0	-	Weak_Target
chr5	19434533	20907917	Magi2	0	+	Weak_Target
chrX	70096361	70199662	Mamld1	0	+	Weak_Target
chr11	65579068	65676623	Map2k4	0	-	Weak_Target
chr17	80887940	81033022	Map4k3	0	-	Weak_Target
chr5	103055815	103245447	Mapk10	0	-	Weak_Target
chr18	74061556	74195500	Mapk4	0	-	Weak_Target
chr1	184628985	184729267	Mark1	0	-	Weak_Target
chr3	60438951	60537169	Mbnl1	0	+	Weak_Target
chr14	120515632	120669107	Mbnl2	0	+	Weak_Target
chr8	12968392	13070509	Mcf2l	0	+	Weak_Target
chr8	18647646	18853205	Mcph1	0	+	Weak_Target
chr10	59282805	59450014	Mcu	0	-	Weak_Target
chr5	118701303	118901981	Med13l	0	+	Weak_Target
chr2	29239330	29414805	Med27	0	+	Weak_Target
chr4	70345301	70450665	Megf9	0	-	Weak_Target
chr2	115693544	115893028	Meis2	0	-	Weak_Target
chr1	127135254	127416073	Mgat5	0	+	Weak_Target
chr4	17855957	18119145	Mmp16	0	+	Weak_Target
chr2	106526113	106698701	Mpped2	0	+	Weak_Target
chr11	59555832	59667049	Mprip	0	+	Weak_Target
chr17	66643976	66754245	Mtcl1	0	-	Weak_Target
chr11	4432552	4542280	Mtmr3	0	-	Weak_Target
chr2	33619964	33775458	Mvb12b	0	-	Weak_Target
chr9	74981167	75125832	Myo5a	0	+	Weak_Target
chr9	80075008	80215379	Myo6	0	+	Weak_Target
chr12	29580882	29973212	Myt1l	0	+	Weak_Target
chr1	135366585	135613343	Nav1	0	-	Weak_Target
